domain,source,reference,model_output,rating_out_of_5(Anubhav)
education,"There was a game and a system called Bee Star, which was designed by a chess player and computer scientist and he decided that I would search until I found any passivity, any stability in the system.","बी स्टार नामक एक खेल और एक सिस्टम था, जिसे एक शतरंज खिलाड़ी व कंप्यूटर साइंटिस्ट द्वारा डिज़ाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोज करूँगा जब मुझे सिस्टम में किसी प्रकार की निष्क्रियता, किसी प्रकार की स्थिरता प्राप्त नहीं होती है।
","एक खेल और एक सिस्टम बी स्टार था, जिसे एक शतरंज खिलाड़ी और कंप्यूटर वैज्ञानिक द्वारा डिजाइन किया गया था और उसने तय किया कि मैं तब तक खोजूंगा जब तक कि मैं सिस्टम में किसी भी प्रकार की निष्क्रियता, किसी भी स्थिरता को नहीं खोजता।
",2
education,"There was a game and a system called Bee Star, which was designed by a chess player and computer scientist and he decided that I would search until I found any passivity, any stability in the system.","बी स्टार नामक एक खेल और एक सिस्टम था, जिसे एक शतरंज खिलाड़ी व कंप्यूटर साइंटिस्ट द्वारा डिज़ाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोज करूँगा जब मुझे सिस्टम में किसी प्रकार की निष्क्रियता, किसी प्रकार की स्थिरता प्राप्त नहीं होती है।
","एक खेल और एक सिस्टम था जिसे बी स्टार कहा जाता था, जिसे एक शतरंज खिलाड़ी और कंप्यूटर वैज्ञानिक ने डिज़ाइन किया था और उसने तय किया कि मैं तब तक खोज करूंगा जब तक मुझे सिस्टम में कोई निष्क्रियता या स्थिरता न मिल जाए।
",3
education,"There was a game and a system called Bee Star, which was designed by a chess player and computer scientist and he decided that I would search until I found any passivity, any stability in the system.","बी स्टार नामक एक खेल और एक सिस्टम था, जिसे एक शतरंज खिलाड़ी व कंप्यूटर साइंटिस्ट द्वारा डिज़ाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोज करूँगा जब मुझे सिस्टम में किसी प्रकार की निष्क्रियता, किसी प्रकार की स्थिरता प्राप्त नहीं होती है।
","एक खेल और एक प्रणाली थी जिसे बी स्टार कहा जाता था, जिसे एक शतरंज खिलाड़ी और कंप्यूटर वैज्ञानिक ने डिजाइन किया था और उसने तय किया कि मैं खोज करूंगी जब तक कि मैं प्रणाली में कोई निष्क्रियता, कोई स्थिरता नहीं पा लेती।
",4
education,"There was a game and a system called Bee Star, which was designed by a chess player and computer scientist and he decided that I would search until I found any passivity, any stability in the system.","बी स्टार नामक एक खेल और एक सिस्टम था, जिसे एक शतरंज खिलाड़ी व कंप्यूटर साइंटिस्ट द्वारा डिज़ाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोज करूँगा जब मुझे सिस्टम में किसी प्रकार की निष्क्रियता, किसी प्रकार की स्थिरता प्राप्त नहीं होती है।
","पिछला एकाधिकार और एक प्रणाली नाक रेड, जिसका राज्यों के एक records और टैक्स कलाकार और चार सभी राष्ट्र के आतंकवाद निरोधी राष्ट्र के लिए बहुत ही सम्मानजनक है, बहुत समर्थन है।
",2
education,"There was a game and a system called Bee Star, which was designed by a chess player and computer scientist and he decided that I would search until I found any passivity, any stability in the system.","बी स्टार नामक एक खेल और एक सिस्टम था, जिसे एक शतरंज खिलाड़ी व कंप्यूटर साइंटिस्ट द्वारा डिज़ाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोज करूँगा जब मुझे सिस्टम में किसी प्रकार की निष्क्रियता, किसी प्रकार की स्थिरता प्राप्त नहीं होती है।
","एक खेल और एक सिस्टम था जिसे बी स्टार कहा जाता था, इसे एक शतरंज खिलाड़ी और कंप्यूटर वैज्ञानिक ने डिज़ाइन किया था और उसने यह तय किया कि मैं तब तक खोजता रहूंगा जब तक कि मैं सिस्टम में किसी भी निष्क्रियता या स्थिरता नहीं पा लेता।
",3
education,"There was a game and a system called Bee Star, which was designed by a chess player and computer scientist and he decided that I would search until I found any passivity, any stability in the system.","बी स्टार नामक एक खेल और एक सिस्टम था, जिसे एक शतरंज खिलाड़ी व कंप्यूटर साइंटिस्ट द्वारा डिज़ाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोज करूँगा जब मुझे सिस्टम में किसी प्रकार की निष्क्रियता, किसी प्रकार की स्थिरता प्राप्त नहीं होती है।
","एक शतरंज खिलाड़ी और कंप्यूटर वैज्ञानिक द्वारा डिज़ाइन किया गया एक गेम और प्रणाली थी जिसे बी स्टार कहा जाता था, जिसने निर्णय लिया कि मैं किसी भी निष्क्रियता, किसी भी स्थिरता को खोजने तक खोज करता रहूंगा।
",3
education,"There was a game and a system called Bee Star, which was designed by a chess player and computer scientist and he decided that I would search until I found any passivity, any stability in the system.","बी स्टार नामक एक खेल और एक सिस्टम था, जिसे एक शतरंज खिलाड़ी व कंप्यूटर साइंटिस्ट द्वारा डिज़ाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोज करूँगा जब मुझे सिस्टम में किसी प्रकार की निष्क्रियता, किसी प्रकार की स्थिरता प्राप्त नहीं होती है।
","एक खेल और एक प्रणाली बी स्टार थी, जिसे एक शतरंज खिलाड़ी और कंप्यूटर वैज्ञानिक द्वारा डिज़ाइन किया गया था, और उसने निर्णय लिया कि मैं प्रणाली में किसी भी निष्क
",1
education,"There was a game and a system called Bee Star, which was designed by a chess player and computer scientist and he decided that I would search until I found any passivity, any stability in the system.","बी स्टार नामक एक खेल और एक सिस्टम था, जिसे एक शतरंज खिलाड़ी व कंप्यूटर साइंटिस्ट द्वारा डिज़ाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोज करूँगा जब मुझे सिस्टम में किसी प्रकार की निष्क्रियता, किसी प्रकार की स्थिरता प्राप्त नहीं होती है।
","एक खेल और एक सिस्टम था जिसे बी स्टार कहा जाता था, जिसे एक शतरंज खिलाड़ी और कंप्यूटर वैज्ञानिक ने डिज़ाइन किया था और उन्होंने तय किया कि मैं तब तक खोज करूँगा जब तक कि मुझे सिस्टम में कोई निष्क्रियता, कोई स्थिरता न मिल जाए।
",3
education,"There was a game and a system called Bee Star, which was designed by a chess player and computer scientist and he decided that I would search until I found any passivity, any stability in the system.","बी स्टार नामक एक खेल और एक सिस्टम था, जिसे एक शतरंज खिलाड़ी व कंप्यूटर साइंटिस्ट द्वारा डिज़ाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोज करूँगा जब मुझे सिस्टम में किसी प्रकार की निष्क्रियता, किसी प्रकार की स्थिरता प्राप्त नहीं होती है।
","एक गेम और सिस्टम था जिसका नाम बी स्टार था, जिसकी डिजाइन एक शतरंज खिलाड़ी और कंप्यूटर वैज्ञानिक ने की थी और उन्होंने यह निर्णय लिया कि मैं तब तक खोजता रहूँगा जब तक मैं सिस्टम में कोई निष्क्रियता या स्थिरता नहीं पा लेता।
",3
education,"There was a game and a system called Bee Star, which was designed by a chess player and computer scientist and he decided that I would search until I found any passivity, any stability in the system.","बी स्टार नामक एक खेल और एक सिस्टम था, जिसे एक शतरंज खिलाड़ी व कंप्यूटर साइंटिस्ट द्वारा डिज़ाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोज करूँगा जब मुझे सिस्टम में किसी प्रकार की निष्क्रियता, किसी प्रकार की स्थिरता प्राप्त नहीं होती है।
","एक गेम और एक सिस्टम था जिसे बी स्टार कहा जाता था, जिसे एक शतरंज खिलाड़ी और कंप्यूटर वैज्ञानिक द्वारा डिजाइन किया गया था और उन्होंने फैसला किया कि जब तक मुझे कोई निष्क्रियता, सिस्टम में कोई स्थिरता नहीं मिलती, तब तक मैं खोजूंगा।
",3
