file,bleu_scores
education_Aya23,36.4
education_Claude_3_5,46.04
education_CommandR_plus,35.33
education_CycleL,0.38
education_GPT_4,40.9
education_IKUN,28.99
education_IKUN_C,28.62
education_IOL_Research,40.47
education_Llama3_70B,40.73
education_NVIDIA_NeMo,45.12
education_ONLINE_A,50.27
education_ONLINE_B,46.19
education_ONLINE_G,46.19
education_TranssionMT,46.7
education_Unbabel_Tower70B,44.22
education_ZMT,50.27
general_Aya23,14.13
general_Claude_3_5,19.02
general_CommandR_plus,14.39
general_CycleL,1.21
general_GPT_4,14.68
general_IKUN,11.6
general_IKUN_C,11.99
general_IOL_Research,15.41
general_Llama3_70B,15.58
general_NVIDIA_NeMo,18.12
general_ONLINE_A,19.84
general_ONLINE_B,21.36
general_ONLINE_G,16.49
general_TranssionMT,21.39
general_Unbabel_Tower70B,20.5
general_ZMT,19.83
judicial_Aya23,17.07
judicial_Claude_3_5,25.62
judicial_CommandR_plus,17.64
judicial_CycleL,0.79
judicial_GPT_4,18.45
judicial_IKUN,8.21
judicial_IKUN_C,6.95
judicial_IOL_Research,19.12
judicial_Llama3_70B,21.27
judicial_NVIDIA_NeMo,21.21
judicial_ONLINE_A,25.02
judicial_ONLINE_B,25.2
judicial_ONLINE_G,27.33
judicial_TranssionMT,25.25
judicial_Unbabel_Tower70B,22.04
judicial_ZMT,25.01
literature_Aya23,8.34
literature_Claude_3_5,15.11
literature_CommandR_plus,10.32
literature_CycleL,0.21
literature_GPT_4,7.95
literature_IKUN,4.85
literature_IKUN_C,4.8
literature_IOL_Research,6.82
literature_Llama3_70B,9.51
literature_NVIDIA_NeMo,16.65
literature_ONLINE_A,20.34
literature_ONLINE_B,26.21
literature_ONLINE_G,8.56
literature_TranssionMT,26.27
literature_Unbabel_Tower70B,20.03
literature_ZMT,20.34
noisy_Aya23,31.76
noisy_Claude_3_5,42.49
noisy_CommandR_plus,31.35
noisy_CycleL,0.82
noisy_GPT_4,35.43
noisy_IKUN,19.99
noisy_IKUN_C,18.89
noisy_IOL_Research,39.79
noisy_Llama3_70B,34.73
noisy_NVIDIA_NeMo,37.32
noisy_ONLINE_A,52.55
noisy_ONLINE_B,51.51
noisy_ONLINE_G,44.13
noisy_TranssionMT,51.71
noisy_Unbabel_Tower70B,40.86
noisy_ZMT,52.55
review_Aya23,30.82
review_Claude_3_5,36.45
review_CommandR_plus,26.49
review_CycleL,0.33
review_GPT_4,33.66
review_IKUN,19.09
review_IKUN_C,16.48
review_IOL_Research,33.23
review_Llama3_70B,33.16
review_NVIDIA_NeMo,41.07
review_ONLINE_A,46.78
review_ONLINE_B,41.55
review_ONLINE_G,55.29
review_TranssionMT,41.58
review_Unbabel_Tower70B,35.42
review_ZMT,46.78
